Actividad,Línea_Servicio,ESPACIO_ACTIVIDAD,Asistencias,Rangos_Edad,LUGAR
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ORIENTACION ACADEMICA (RECURRENTE),REFERENCIA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ORIENTACION ACADEMICA (RECURRENTE),REFERENCIA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ORIENTACION ACADEMICA (RECURRENTE),REFERENCIA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ORIENTACION ACADEMICA (RECURRENTE),REFERENCIA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,2,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
ISLA LIBRO (REAL),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,EXTENSION BIBLIOTECARIA (BIBLIOTECA ITINERANTE),9,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,6,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,5,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,9,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,8,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,3,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE SALA - INDUCCION,ACTIVIDADES Y FORMACION COMUNITARIA PARA EL DESARROLLO LOCAL,SALA DE SISTEMAS,11,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,8,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,6,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,5,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,9,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,3,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,11,ADOLESCENTES (13 A 17 AÑOS),CENTRO
CINE FORO (RECURRENTE),ACTIVIDADES DE FORMACION CULTURAL,SALA AUDIOVISUAL,4,ADULTOS (29 A 59 AÑOS),CENTRO
CINE FORO (RECURRENTE),ACTIVIDADES DE FORMACION CULTURAL,SALA AUDIOVISUAL,8,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",4,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",7,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",3,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",16,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",30,JÓVENES (18 A 28 AÑOS),CENTRO
PRACTICAS DE ARTE Y LITERATURA,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",53,ADULTOS (29 A 59 AÑOS),CENTRO
RECONOCE TU BIBLIOTECA (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,1,JÓVENES (18 A 28 AÑOS),CENTRO
RECONOCE TU BIBLIOTECA (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,1,ADULTOS (29 A 59 AÑOS),CENTRO
RECONOCE TU BIBLIOTECA (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,3,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,12,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,JÓVENES (18 A 28 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
TUTORÍAS EN INFORMATICA BASICA (RECURRENTE),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,3,ADULTOS (29 A 59 AÑOS),CENTRO
TUTORÍAS EN INFORMATICA BASICA (RECURRENTE),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,7,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
