Fecha,Actividad,Línea de Servicio,Espacio donde se desarrolla la actividad,Asistencias,Rangos de Edad,Femenino,Masculino,LUGAR
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,PRIMERA INFANCIA (0 A 5 AÑOS),1,0,CENTRO
2024,INFORMACION LOCAL (REAL),FORMACION DE USUARIOS / ALFABETIZACION INFORMACIONAL,SALA GENERAL,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,INFORMACION LOCAL (REAL),FORMACION DE USUARIOS / ALFABETIZACION INFORMACIONAL,SALA GENERAL,2,JOVENES (18 A 28 AÑOS),1,1,CENTRO
2024,INFORMACION LOCAL (REAL),FORMACION DE USUARIOS / ALFABETIZACION INFORMACIONAL,SALA GENERAL,6,ADULTOS (29 A 59 AÑOS),5,1,CENTRO
2024,INFORMACION LOCAL (REAL),FORMACION DE USUARIOS / ALFABETIZACION INFORMACIONAL,SALA GENERAL,3,ADULTOS MAYORES (60 AÑOS EN ADELANTE),2,1,CENTRO
2024,INTERCAMBIO LITERARIO Y ADOPTA UN LIBRO,ACTIVIDADES Y FORMACION CULTURAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ORIENTACION ACADEMICA (REAL),REFERENCIA,SALA GENERAL,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),0,1,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,AFILIACION DE USUARIOS,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,AFILIACION DE USUARIOS,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,AFILIACION DE USUARIOS,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,3,ADOLESCENTES (13 A 17 AÑOS),3,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),1,0,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,LEO 7 (RECURRENTE),FORMACION DE USUARIOS / ALFABETIZACION INFORMACIONAL,SALA DE SISTEMAS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),0,1,CENTRO
2024,CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),0,1,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,PRIMERA INFANCIA (0 A 5 AÑOS),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,RENOVACION DE MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,CINE FORO (REAL),ACTIVIDADES Y FORMACION CULTURAL,SALA AUDIOVISUAL,33,ADOLESCENTES (13 A 17 AÑOS),12,21,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,6,ADOLESCENTES (13 A 17 AÑOS),2,4,CENTRO
2024,"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),1,0,CENTRO
2024,ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,AFILIACION DE USUARIOS,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),0,1,CENTRO
2024,AFILIACION DE USUARIOS,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JOVENES (18 A 28 AÑOS),0,1,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),0,1,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),1,0,CENTRO
2024,DEVOLUCION MATERIAL EN PRESTAMO,PRESTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),0,1,CENTRO
